HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,ATT,QZ1,QZ2,QZ3,QZ4,EX1,EX2,Test1,Test2,Homework,Quiz,Lab,Overall,Grade
95,77.5,95,100,100,87,100,90,100,12,100,94.44444444,70,95,64,77.4,80,86,95.88,96.48,100,90.736,A
70,67.5,75,70,95,77,79,0,63.5,11,91.66666667,61.11111111,0,80,54.4,45,68,50,74.62,77.59,100,70.1245,C
77.5,70,87.5,90,80,81,87,90,85,11,66.66666667,0,0,70,35.2,31.5,44,35,84.75,45.56,100,59.809,D
72.5,72.5,85,80,90,93,100,100,100,12,91.66666667,88.88888889,70,95,64.8,81,81,90,90.06,91.85,100,89.4955,A-
80,80,85,60,92.5,71,48,64,95,12,33.33333333,22.22222222,40,25,39.2,42.75,49,47.5,78.44,32.78,100,60.124,C-
97,100,100,100,100,98,100,0,96,12,75,38.88888889,0,100,67.2,77.4,84,86,98.88,71.3,100,88.659,A-
92.5,100,100,80,100,0,83,95,90,12,66.66666667,16.66666667,75,70,50.4,61.2,63,68,92.56,70.56,100,77.952,C+
87.5,55,87.5,52.5,70,98,90,90,80,12,83.33333333,66.66666667,30,80,57.6,62.1,72,69,82.25,76.67,100,77.8255,C+
92.5,92.5,85,90,95,87,73,100,80,12,83.33333333,72.22222222,85,90,72,67.5,90,75,90.25,86.11,100,86.7415,B+
52.5,97.5,100,90,95,95,100,85,70,12,91.66666667,55.55555556,65,75,64.8,70.65,81,78.5,91.56,77.22,100,84.876,B
86.5,94,95,100,95,90,77,60,98,10,66.66666667,61.11111111,65,85,63.2,64.35,79,71.5,91.94,72.22,80,80.09,B-
88.5,85,100,100,100,99,100,100,94,12,100,88.88888889,90,100,79.2,67.05,99,74.5,97.69,96.67,100,92.2325,A
95,98,100,80,100,90,52,70,100,12,83.33333333,44.44444444,75,80,62.4,48.15,78,53.5,91.62,79.44,100,78.377,C+
85,77.5,92.5,55,65,64,26,62.5,85,12,33.33333333,50,30,60,29.6,24.75,37,27.5,73.31,47.78,100,53.435,D
87.5,100,100,70,95,100,78,90,80,12,66.66666667,44.44444444,40,90,62.4,35.1,78,39,91.31,67.04,100,72.799,C
76,72.5,50,0,61.25,71,51,50,80,12,58.33333333,55.55555556,50,20,44.8,63.45,56,70.5,63.97,54.63,100,66.2105,C-
81,97.5,100,75,95,87,82,90,95,12,100,100,75,55,67.2,75.6,84,84,90.94,91.67,100,88.8325,A-
92.5,100,92.5,90,100,95,85,90,80,12,87.5,66.66666667,65,100,66.4,63,83,70,93.12,84.72,100,84.744,B
87.5,100,92.5,90,95,91,90,95,100,11,83.33333333,66.66666667,82.5,85,72,81,90,90,94.19,83.61,100,91.2985,A
93.5,95,97.5,100,100,76,95,90,80,12,100,77.77777778,75,65,76.8,75.15,96,83.5,93.88,84.26,100,90.878,A
75,82.5,100,100,90,88,84,87.5,100,12,91.66666667,88.88888889,70,90,76.8,76.5,96,85,91.5,90.19,100,91.4285,A
87.5,62.5,80,70,100,96,92,100,70,12,58.33333333,66.66666667,60,75,58.4,54.9,73,61,86.94,67.22,100,76.015,C
90,90,72.5,90,100,97,100,95,100,12,83.33333333,61.11111111,65,65,55.2,41.4,69,46,95.25,71.11,100,74.5415,C
70,90,90,80,69.5,54,82,0,100,9,50,38.88888889,40,40,37.6,43.2,47,48,79.44,43.33,60,57.7315,D
95,85,90,50,56,86,92,75,55,12,87.5,77.77777778,45,75,42.4,27,53,30,79.25,80.09,100,63.8885,C-
82.5,100,97.5,90,91.25,99,97,100,100,12,91.66666667,88.88888889,90,100,67.2,73.8,84,82,96.84,93.89,100,90.4355,A
95,100,100,90,95,99,97,80,100,12,100,94.44444444,90,95,70.4,83.25,88,92.5,97,96.48,100,94.297,A
100,100,97.5,100,100,95,100,100,60,12,95.83333333,61.11111111,75,70,55.2,69.3,69,77,99.06,80.28,100,84.81,B
67.5,100,100,90,95,90,100,90,100,12,100,77.77777778,70,100,71.2,83.7,89,93,95.62,92.59,100,93.6245,A
92.5,85,92.5,100,100,93,91,90,75,12,95.83333333,83.33333333,75,70,66.4,80.1,83,89,93,84.72,100,89.458,A-
80,85,92.5,0,95,66,80.5,67.5,100,12,66.66666667,88.88888889,85,80,49.6,62.55,62,69.5,83.31,84.63,100,77.4625,C
0,77.5,100,80,100,90,80,0,65,12,87.5,94.44444444,75,85,34.4,69.3,43,77,74.06,88.98,100,73.415,C
92.5,95,85,100,100,99,89,100,100,12,91.66666667,100,75,100,67.2,70.2,84,78,96.94,97.22,100,89.965,A-
90,95,100,100,100,99,100,80,85,12,100,100,75,100,71.2,76.5,89,85,96.12,100,100,92.886,A
87.5,77.5,97.5,90,97,96,90,80,80,12,95.83333333,0,55,80,56,60.75,70,67.5,89.75,76.94,100,79.341,C+
92.5,100,100,100,95,99,94,99,95,12,75,100,85,95,70.4,77.4,88,86,97.75,93.33,100,92.4245,A
95,98,92.5,70,95,98,100,100,98,12,100,77.77777778,50,90,68.8,70.2,86,78,97.06,89.26,100,89.207,A-
82,100,91.5,100,100,90,100,70,96,12,50,77.77777778,60,95,55.2,63.9,69,71,94.94,77.59,100,81.6705,B-
82.5,100,85,75,95,86,26,45,65,12,33.33333333,55.55555556,50,85,36.8,36,46,40,79.19,63.52,100,62.485,C-
90,95,100,100,100,96,100,95,100,12,66.66666667,94.44444444,75,90,44.8,63,56,70,98.25,86.48,100,81.147,B-
87.5,77.5,100,80,85,99,100,100,85,11,66.66666667,55.55555556,25,60,38.4,40.95,48,45.5,92.06,60.74,100,67.704,C-
74,100,85,90,90,96,86,90,98,12,91.66666667,77.77777778,75,90,60.8,76.05,76,84.5,91.88,86.48,100,86.861,B+
80,60,95,80,85,91,68,80,67.5,12,41.66666667,61.11111111,55,80,36.8,45,46,50,80.81,65.37,100,65.7485,C-
91.5,97,87.5,80,90,82,90,90,98,12,58.33333333,72.22222222,55,75,51.2,39.15,64,43.5,90.75,68.52,100,71.178,C
80,95,90,80,97.5,94,73,90,85,12,58.33333333,66.66666667,57.5,100,64.8,64.35,81,71.5,88.94,75,100,82.007,B
92.5,95,100,100,95,98,70,100,100,12,91.66666667,61.11111111,60,90,66.4,73.35,83,81.5,97.56,80.93,100,88.3825,A-
92.5,100,100,90,100,93,89,80,60,12,83.33333333,77.77777778,55,80,65.6,63.9,82,71,93.06,80.37,100,84.1235,B
80,77.5,70,65,100,97,100,75,85,12,58.33333333,55.55555556,25,40,56.8,34.2,71,38,85.56,51.3,100,67.063,C-
80,0,92.5,90,90,79,0,70,51.5,12,91.66666667,88.88888889,0,100,75.2,68.85,94,76.5,69.12,93.52,100,82.689,B
0,10,47.5,0,90,0,56,40,75,7,54.16666667,27.77777778,30,80,43.2,31.5,54,35,39.81,54.72,20,41.701,F
85,85,92.5,60,95,98,100,80,100,12,91.66666667,50,75,95,47.2,57.6,59,64,91.94,87.22,100,78.465,C+
70,89,70,80,85,96,0,90,0,11,75,44.44444444,65,0,64,54.9,80,61,72.5,61.48,100,72.222,C
85,97.5,100,85,75,97,97,95,85,12,25,44.44444444,35,65,48.8,36.45,61,40.5,92.69,48.15,100,67.3545,C-
94.5,100,85,100,100,98,90,100,96,12,75,61.11111111,80,80,78.4,72,98,80,97.31,78.33,100,90.5425,A
62.5,65,32.5,27.5,0,79,79,75,94,12,91.66666667,33.33333333,25,55,44,54.9,55,61,64.31,60,100,64.543,C-
85,70,85,95,100,88,88,100,85,12,75,100,90,100,47.2,65.7,59,73,90.75,96.67,100,81.7755,B-
92.5,100,100,100,100,100,100,95,100,12,91.66666667,88.88888889,80,80,59.2,71.1,74,79,99.38,86.85,100,87.3915,B+
92.5,100,100,100,95,90,100,95,85,12,100,88.88888889,80,80,76,74.25,95,82.5,96.56,89.63,100,92.0375,A
80,75,90,90,100,93,98,90,85,12,91.66666667,88.88888889,75,100,69.6,76.5,87,85,90.75,93.52,100,89.903,A-
92.5,82.5,87.5,90,100,82,82,0,85,9,50,44.44444444,0,25,45.6,52.2,57,58,87.69,39.81,60,64.1785,C-
76,80,100,95,90,93,89,87.5,80,12,100,66.66666667,70,85,55.2,66.6,69,74,89.31,85,100,81.843,B-
82.5,85,92.5,95,90,100,100,100,80,12,66.66666667,55.55555556,85,0,62.4,47.25,78,52.5,93.12,69.07,100,77.0215,C
77.5,62.5,97.5,80,0,83,100,75,70,11,66.66666667,44.44444444,70,80,67.2,69.3,84,77,80.69,72.22,100,81.09,B-
77.5,100,100,100,100,99,92,100,98,12,91.66666667,100,90,100,76,85.5,95,95,98.62,97.22,100,96.919,A+
87.5,85,92.5,80,100,99,0,100,75,12,100,100,60,100,75.2,70.2,94,78,89.88,100,100,90.264,A
67.5,95,82.5,95,60,79,89,100,85,12,83.33333333,83.33333333,67.5,95,76.8,81.9,96,91,86.62,87.22,100,91.019,A
30,0,0,100,85,91,77,85,85,12,25,55.55555556,25,30,38.4,38.7,48,43,69.12,36.85,100,56.6135,D
92.5,100,100,0,100,100,0,100,100,12,91.66666667,100,100,100,64,78.3,80,87,86.56,100,100,88.718,A-
82.5,0,95,100,95,99,100,100,100,9,75,72.22222222,80,95,70.4,75.6,88,84,96.44,83.33,60,86.0315,B+
77.5,97.5,100,70,0,96,100,80,75,12,66.66666667,11.11111111,45,75,48.8,49.5,61,55,87,62.22,100,71.383,C
80,75,0,67.5,77.5,87,100,82.5,90,11,83.33333333,83.33333333,90,90,57.6,72.9,72,81,82.44,87.78,100,82.549,B
0,85,80,75,100,78,0,90,0,12,91.66666667,38.88888889,75,0,58.4,37.35,73,41.5,63.5,68.52,100,64.303,C-
87.5,85,92.5,85,95,91,92,90,90,12,91.66666667,50,0,85,64,65.7,80,73,90.38,75.56,100,82.698,B
73.5,0,92.5,90,80,0,100,100,75,12,83.33333333,72.22222222,65,95,70.4,65.7,88,73,76.38,83.52,100,81.292,B-
79,95,92.5,65,72.5,91,100,0,76,11,33.33333333,77.77777778,95,95,59.2,75.6,74,84,83.88,89.26,100,84.353,B
0,0,0,42.5,0,0,0,0,0,10,58.33333333,0,0,0,42.4,35.55,53,39.5,5.31,19.44,80,32.984,F
100,97.5,100,90,100,99,100,100,100,12,100,77.77777778,90,95,69.6,84.6,87,94,99.56,95,100,95.018,A+
92.5,95,100,0,100,93,90,85,100,12,83.33333333,100,70,80,65.6,80.55,82,89.5,94.44,87.78,100,90.274,A
96,97.5,100,0,100,89,97,100,99,12,100,66.66666667,80,95,73.6,78.3,92,87,97.31,91.67,100,93.0935,A
45,77.5,67.5,70,90,71,89,90,85,12,33.33333333,72.22222222,47.5,70,57.6,63.9,72,71,80,63.24,100,75.636,C
0,85,85,67.5,90,88,96,75,95,12,58.33333333,66.66666667,50,0,48.8,40.95,61,45.5,85.19,58.33,100,67.8815,C-
85,92.5,100,100,95,90,100,97.5,100,12,100,77.77777778,75,60,62.4,61.2,78,68,96.88,84.26,100,84.303,B
82.5,70,100,65,97,71,78,85,85,11,75,38.88888889,55,80,70.4,55.8,88,62,83.56,70,100,78.668,C+
92.5,92.5,100,80,95,97,97,95,80,12,83.33333333,55.55555556,75,90,57.6,54.9,72,61,93.62,82.78,100,80.153,B-
55,85,100,100,60,100,80,90,90,12,91.66666667,77.77777778,85,100,71.2,76.5,89,85,88.12,92.22,100,89.319,A-
92.5,77.5,92.5,100,100,96,89,97.5,99,12,83.33333333,72.22222222,80,100,58.4,71.55,73,79.5,95.81,87.78,100,86.385,B+
62.5,97.5,82.5,67.5,90,98,100,80,100,12,75,72.22222222,57.5,75,55.2,50.4,69,56,89.44,74.07,100,75.7425,C
100,100,92.5,100,100,0,94,85,0,10,41.66666667,83.33333333,70,0,71.2,75.6,89,84,83.94,65,80,81.732,B-
87.5,92.5,100,90,87,96,94,95,70,12,95.83333333,83.33333333,70,15,64.8,42.3,81,47,92.75,83.06,100,78.234,C+
92.5,100,100,100,100,99,100,100,97,12,100,100,100,100,64.8,88.2,81,98,99.5,100,100,95.55,A+
95,96,100,100,100,97,30,95,98,12,91.66666667,44.44444444,80,95,44,63.9,55,71,97.62,88.89,100,81.3695,B-
77.5,95,97.5,80,100,94,99,100,85,12,83.33333333,88.88888889,60,100,60.8,72.9,76,81,93.81,90.74,100,87.204,B+
88.5,97,100,90,100,99,97,100,85,12,66.66666667,88.88888889,95,65,57.6,72.9,72,81,96.44,83.52,100,86.11,B+
72.5,62.5,100,99,100,0,0,100,99,10,91.66666667,83.33333333,0,85,62.4,78.75,78,87.5,79.12,86.67,80,82.2115,B
87,100,92.5,80,100,89,50,80,98,12,83.33333333,0,60,85,66.4,82.8,83,92,90.81,76.11,100,88.2595,A-
75,100,100,90,100,95,97,95,85,12,91.66666667,66.66666667,65,95,62.4,60.3,78,67,95.25,84.44,100,83.591,B
92.5,85,85,0,95,99,81,90,75,12,91.66666667,94.44444444,45,90,52.8,75.15,66,83.5,87.81,92.04,100,84.224,B
84,100,87.5,70,100,97,100,90,100,12,83.33333333,61.11111111,95,80,42.4,55.35,53,61.5,94.81,86.11,100,77.3345,C
77.5,95,95,95,90,89,99,90,85,12,100,77.77777778,90,100,71.2,87.3,89,97,92.25,96.67,100,94.2255,A
62.5,90,52.4,90,54,75,25,0,60,11,50,11.11111111,0,5,21.6,23.4,27,26,63.61,22.04,100,44.289,F
80,85,85,90,72,95,92,100,60,12,79.16666667,72.22222222,55,90,65.6,65.7,82,73,87.38,80.46,100,82.933,B
0,62.5,10,55,66,0,0,60,30,7,75,0,15,40,32.8,29.25,41,32.5,35.44,43.33,20,35.4565,F
87.5,85,100,100,95,90,100,90,80,12,100,83.33333333,65,95,49.6,62.1,62,69,93.44,92.78,100,81.599,B-
77.5,95,75,100,100,90,97.5,95,100,12,100,88.88888889,95,85,56,73.8,70,82,94.38,94.63,100,87.0085,B+
92.5,100,100,100,100,93,88,100,80,12,66.66666667,27.77777778,75,90,64.8,69.75,81,77.5,96.69,77.22,100,86.165,B+
88.5,100,100,100,100,99,100,100,100,12,100,100,85,90,68,77.4,85,86,99.88,96.67,100,92.9645,A
50,100,97.5,75,76.25,94,77,93.5,75,12,91.66666667,100,90,100,70.4,76.5,88,85,86.03,97.22,100,89.242,A-
80,100,77.5,77.5,95,90,95,80,0,9,66.66666667,77.77777778,67.5,0,76,58.95,95,65.5,86.88,70.65,60,78.0365,C+
77.5,90,100,100,90,95,97,100,100,12,75,77.77777778,80,90,64.8,59.85,81,66.5,96.5,82.59,100,84.1635,B
86,97.5,100,90,100,98,97,100,100,12,83.33333333,100,90,100,77.6,80.1,97,89,97.81,96.67,100,95.4935,A+
100,100,97.5,100,100,100,100,100,100,12,100,100,100,100,80,85.5,100,95,100,100,100,98.75,A+
95,85,100,100,100,93,100,90,100,12,100,100,90,100,72,84.6,90,94,97.25,100,100,95.675,A+
100,99,100,90,100,99,100,95,99,12,100,88.88888889,95,95,72,78.3,90,87,99,96.67,100,93.9505,A
60,100,92.5,100,100,94,100,80,100,12,75,50,45,65,62.4,75.6,78,84,95.81,63.33,100,84.8425,B
87.5,92.5,100,80,95,89,95,95,90,12,83.33333333,77.77777778,65,70,55.2,79.2,69,88,93,77.04,100,85.256,B
99,83,92.5,98,100,0,0,0,0,6,33.33333333,16.66666667,0,0,29.6,12.6,37,14,59.06,16.67,0,31.1185,F
100,100,100,100,100,100,0,100,96,11,75,77.77777778,55,80,64.8,58.5,81,65,99.5,77.59,100,83.9385,B
82.5,100,93.5,100,100,95,80,90,100,12,66.66666667,88.88888889,70,85,63.2,63.45,79,70.5,95.12,81.3,100,84.156,B
52.5,100,82.5,90,100,94,100,75,85,12,91.66666667,50,42.5,85,66.8,74.25,83.5,82.5,90.81,75.56,100,85.902,B
60,70,85,75,0,0,0,0,0,3,66.66666667,77.77777778,0,95,67.2,65.7,84,73,36.25,79.81,0,57.8965,D
90,0,70,90,0,44,0,40,55,10,91.66666667,77.77777778,55,65,43.2,49.5,54,55,48.62,78.15,80,58.8585,D
87.5,100,100,100,100,100,100,100,80,12,100,100,65,100,80,84.6,100,94,98.44,100,100,98.032,A+
92.5,100,100,70,100,100,92,100,80,12,91.66666667,94.44444444,85,85,60.8,50.85,76,56.5,95.56,90.37,100,81.5485,B-
87.5,60,100,100,95,92,79,95,100,12,58.33333333,66.66666667,70,95,60,76.5,75,85,93.56,77.22,100,85.901,B
85,95,100,100,95,100,89,97.5,85,12,91.66666667,66.66666667,82.5,100,72,79.2,90,88,95.19,91.39,100,92.2655,A
83.5,100,0,90,70,94,76,100,100,12,100,61.11111111,90,95,60,67.05,75,74.5,89.19,95,100,84.632,B
85,100,92.5,100,95,100,90,65,100,12,66.66666667,100,75,85,66.4,79.2,83,88,95.31,86.67,100,90.1935,A
92.5,100,92.5,70,100,82,86,60,100,12,66.66666667,66.66666667,40,45,69.6,63.9,87,71,90.38,59.44,100,81.18,B-
92.5,97.5,95,100,91.25,100,94,100,95,12,83.33333333,77.77777778,40,95,62.4,66.6,78,74,96.75,85.37,100,85.9305,B
86,100,100,90,100,92.5,0,90,100,12,58.33333333,33.33333333,85,90,32.8,66.6,41,74,94.81,77.78,100,76.81,C
92.5,100,0,90,100,100,89,100,100,12,83.33333333,72.22222222,80,95,70.4,77.4,88,86,96.44,86.11,100,90.9485,A
82.5,80,95,90,100,98,92,100,85,11,91.66666667,88.88888889,60,90,68,72.9,85,81,92.81,90.19,100,88.6215,A-
85,42.5,0,0,0,66,0,0,80,6,83.33333333,66.66666667,0,70,52,43.2,65,48,34.19,73.33,0,46.2565,F
77.5,100,97.5,65,72,81,97,100,75,10,79.16666667,50,0,85,64.8,62.1,81,69,87.5,71.39,80,78.4085,C+
70,80,90,100,90,0,90,90,85,12,91.66666667,0,75,90,36,46.8,45,52,86.88,85.56,100,70.898,C
77.5,92.5,95,90,0,95,94,100,100,10,66.66666667,88.88888889,70,45,66.4,70.2,83,78,93,75.19,80,83.2785,B
92.5,97.5,100,100,100,99,97,100,100,12,91.66666667,61.11111111,85,70,57.6,72.9,72,81,99.19,82.22,100,86.74,B+
89.5,100,97.5,80,96.25,96,51,85,100,12,100,66.66666667,75,85,69.6,74.7,87,83,93.03,86.67,100,89.0595,A-
89,100,55,98,100,83,100,0,97,9,75,61.11111111,0,100,70.4,69.3,88,77,90.25,78.7,60,81.73,B-
65,82.5,87.5,85,95,95,100,90,80,12,91.66666667,77.77777778,75,95,70.4,78.3,88,87,89.38,88.15,100,89.3865,A-
92.5,100,100,70,100,100,91,80,90,12,100,66.66666667,60,90,68.8,73.35,86,81.5,94.19,85.56,100,88.666,A-
92.5,97.5,100,0,100,99,94,90,100,12,91.66666667,88.88888889,80,95,71.2,79.2,89,88,96.62,91.85,100,92.5635,A
92.5,82,92.5,75,100,99,76,90,89,12,100,83.33333333,80,40,67.2,78.3,84,87,90.12,87.78,100,88.753,A-
70,78,95,0,90,97,100,80,100,11,75,27.77777778,50,55,64.8,63.9,81,71,88.75,60,100,79.575,B-
80,57.5,100,60,80,78,70,95,94,12,83.33333333,66.66666667,70,90,68.8,64.35,86,71.5,82.12,81.11,100,81.8775,B-
92.5,100,92.5,95,100,97,97,100,85,12,58.33333333,50,52.5,60,68,63,85,70,96.75,56.94,100,82.066,B
82.5,100,100,100,100,98,71,100,91,12,91.66666667,83.33333333,80,95,69.6,80.1,87,89,96.44,90,100,92.082,A
80,0,95,0,55,0,0,0,75,7,83.33333333,0,0,65,53.6,60.75,67,67.5,38.12,49.44,20,51.127,D
42.5,52.5,90,72.5,100,95,88,80,85,12,83.33333333,88.88888889,42.5,80,65.6,63,82,70,82.88,84.07,100,81.3745,B-
80,92.5,100,90,100,94,85,90,85,11,91.66666667,88.88888889,75,100,66.4,57.15,83,63.5,92.06,93.52,100,84.121,B
70,100,92.5,82.5,100,99,97,90,85,12,75,83.33333333,80,90,69.6,80.1,87,89,93.25,84.44,100,90.291,A
90,100,100,100,95,99,100,100,100,12,91.66666667,100,80,90,70.4,74.7,88,83,99.25,93.89,100,92.2085,A
70,92.5,90,85,95,99,88,90,90,12,91.66666667,88.88888889,75,90,69.6,65.7,87,73,91.19,90.19,100,86.5355,B+
100,100,85,90,85,89,92,95,95,12,100,94.44444444,80,100,79.2,81.9,99,91,93.25,98.15,100,95.2475,A+
100,100,92.5,80,100,98,100,80,100,10,100,0,90,0,70.4,82.8,88,92,96.31,63.33,80,86.9925,B+
40,0,82.5,0,70,0,52,0,98,12,58.33333333,61.11111111,0,75,46.4,36,58,40,42.81,64.81,100,54.1645,D
92.5,100,92.5,90,100,96,85,90,85,12,83.33333333,88.88888889,80,75,60,70.65,75,78.5,93.25,84.07,100,85.2105,B
92.5,85,100,85,95,100,92,90,75,12,91.66666667,61.11111111,80,100,71.2,74.7,89,83,92.44,90.56,100,89.866,A-
87,100,100,100,100,93,91,80,98,10,83.33333333,88.88888889,50,85,48,54,60,60,96.12,85.74,80,76.697,C
75,97.5,67.5,80,95,90,58,100,85,12,100,77.77777778,67.5,85,57.6,56.7,72,63,86.25,87.59,100,79.1635,C+
100,100,92.5,90,95,95,100,100,80,12,83.33333333,100,80,100,72,80.1,90,89,96.56,94.44,100,93.384,A
85,85,85,85,85,72,85,65,80,6,75,38.88888889,60,70,48.8,54.9,61,61,82.75,68.33,0,62.5245,C-
92.5,70,90,75,100,100,84,100,75,12,100,88.88888889,85,95,69.6,66.6,87,74,89.56,94.63,100,86.9625,B+
85,99,92.5,0,0,0,0,0,0,3,41.66666667,0,0,0,75.2,66.6,94,74,34.56,13.89,0,49.7515,F
80,100,100,0,90,0,100,70,0,10,83.33333333,0,30,70,64,55.35,80,61.5,67.5,61.11,80,68.7915,C-
65,100,55,90,100,86.5,100,85,85,9,83.33333333,88.88888889,52.5,90,68,60.3,85,67,88.94,87.41,60,79.5435,B-
60,100,92.5,100,95,71,90,92.5,85,10,91.66666667,88.88888889,52.5,100,72,74.25,90,82.5,90.75,93.52,80,87.878,B+
75,100,100,100,100,95,100,100,100,12,100,88.88888889,82.5,100,66.4,76.05,83,84.5,99.38,96.3,100,91.984,A
67.5,80,77.5,47.5,100,80,76,77.5,80,12,83.33333333,77.77777778,75,80,44,64.35,55,71.5,79.81,80.37,100,74.8735,C
73.5,70,92.5,80,100,97,90,100,96,12,66.66666667,61.11111111,75,85,65.6,73.8,82,82,91.12,75.56,100,85.57,B
75,90,95,70,85,85,0,62.5,100,12,83.33333333,88.88888889,40,80,59.2,68.4,74,76,82.81,84.07,100,81.2535,B-
70,97.5,100,70,100,100,97,95,85,12,91.66666667,50,80,70,61.2,64.8,76.5,72,93.06,80.56,100,83.302,B
82.5,100,100,100,97,100,100,90,75,12,91.66666667,72.22222222,65,80,62.4,57.15,78,63.5,96.19,81.3,100,82.527,B
91.5,97.5,98,90,92,95,62,95,90,12,66.66666667,44.44444444,90,90,64,65.25,80,72.5,93.62,82.22,100,84.544,B
100,72.5,100,100,100,99,97,100,100,12,66.66666667,100,85,50,66.4,67.5,83,75,99.5,83.89,100,87.7835,B+
95,100,100,100,100,89,98,85,100,12,91.66666667,66.66666667,60,80,52.8,63.9,66,71,97.75,79.44,100,82.191,B
62.5,0,0,0,65,76,71,90,97.5,9,0,44.44444444,55,100,68,34.2,85,38,57.75,66.48,60,59.797,D
52.5,55,85,67.5,90,78,92,80,80,12,50,72.22222222,0,85,52,54.45,65,60.5,78.44,69.07,100,72.0175,C
92.5,97.5,0,85,90,76,81,90,80,12,91.66666667,50,60,75,69.6,78.3,87,87,86.5,75.56,100,86.434,B+
100,100,92.5,90,100,99,90,95,100,12,100,100,85,90,70.4,80.1,88,89,97.06,96.67,100,93.4685,A
82,100,87.5,90,100,96,100,80,95,11,75,72.22222222,55,75,55.2,57.6,69,64,93.81,74.07,100,79.0535,C+
72.5,95,100,80,100,76,100,90,70,12,91.66666667,100,100,100,68.8,81,86,90,89.19,100,100,91.457,A
82.5,85,95,90,100,95,87,85,85,12,91.66666667,88.88888889,70,100,59.2,71.1,74,79,90.25,93.52,100,85.653,B
89.5,100,100,70,100,0,97,100,98,10,75,72.22222222,70,75,56,56.7,70,63,94.31,74.07,80,77.1535,C
95,75,100,100,100,99,85,85,100,12,50,55.55555556,50,95,60.8,51.3,76,57,95.5,66.85,100,78.1275,C+
92.5,100,100,100,100,100,100,100,100,12,66.66666667,61.11111111,80,90,66.4,66.6,83,74,100,78.89,100,86.9335,B+
92.5,0,92.5,95,100,95,0,0,80,9,83.33333333,0,35,60,55.2,41.4,69,46,69.38,59.44,60,61.03,C-
67,0,47.5,90,100,59,59,80,98,12,91.66666667,88.88888889,85,90,63.2,70.65,79,78.5,75.06,90.19,100,81.4715,B-
90,90,90,90,0,0,0,0,0,6,50,0,35,0,66.24,12.6,82.8,14,45,28.33,0,37.8095,F
90,80,80,60,71.25,95,95,100,90,12,66.66666667,77.77777778,65,75,63.2,61.65,79,68.5,87.66,73.15,100,80.1955,B-
0,0,82.5,75,90,0,87,0,80,10,75,0,50,90,30.4,27,38,30,51.81,71.67,80,49.3935,F
